Station,Price,Mountain,AltitudeDown,AltitudeTop,Slopes,Lifts
Les Fourgs,70,Jura,1100,1270,13,7
Les Gets,199,Alpes du Nord,1172,2002,71,48
Les Haberes,100,Alpes du Nord,900,1600,18,9
Les Houches,217,Alpes du Nord,990,1900,30,15
Les Karellis,151,Alpes du Nord,1600,2520,28,16
Les Menuires,239,Alpes du Nord,1450,2850,86,33
Les Monts dOlmes,135,Pyrénées,1400,2000,21,12
Les Orres,185,Alpes du Sud,1550,2720,38,19
Les Plans dHotonnes - Plateau de Retord,96,Jura,1100,1350,13,9
Les Rousses,132,Jura,1120,1680,55,32
Les Saisies,185,Alpes du Nord,1150,2069,61,31
Luchon Superbagneres,178,Pyrénées,1465,2122,28,11
Lus la Jarjatte,66,Alpes du Nord,1140,1510,7,5
Luz Ardiden,170,Pyrénées,1680,2500,28,12
Manigod,120,Alpes du Nord,1460,1780,30,17
Meaudre,96,Alpes du Nord,1012,1600,16,10
Megeve,235,Alpes du Nord,1050,2350,235,108
Meribel,249,Alpes du Nord,1100,2952,67,45
Metabief Mont dOr,137,Jura,900,1460,35,20
Mijanes - Donezan,94,Pyrénées,1530,2000,15,6
Molines en Queyras,150,Alpes du Sud,1740,2830,34,13
Mont Saxonnex,88,Alpes du Nord,1000,1500,14,7
Montchavin - La Plagne,265,Alpes du Nord,1250,3250,128,95
Montgenevre,215,Alpes du Sud,1860,2700,48,25
Montmin - Col de la Forclaz,50,Alpes du Nord,1090,1180,6,3
Montriond,255,Alpes du Nord,970,2350,50,34
Monts Jura,143,Jura,900,1680,47,29
Morillon,221,Alpes du Nord,700,2500,20,9
Morzine,199,Alpes du Nord,1000,2466,71,48
Orcieres Merlette,177,Alpes du Sud,1850,2725,51,30
Orelle,250,Alpes du Nord,900,3200,82,32
Oz en oisans,172,Alpes du Nord,1100,2800,30,20
Passy Plaine Joux,81,Alpes du Nord,1350,1750,10,8
Peisey Vallandry,265,Alpes du Nord,1650,3250,128,54
Pelvoux-Vallouise,108,Alpes du Sud,1250,2300,14,8
Peyragudes,198,Pyrénées,1600,2400,51,17
Piau Engaly,185,Pyrénées,1420,2600,41,11
Porte Puymorens,151,Pyrénées,1600,2500,35,10
Praboure,50,Massif central,1265,1400,7,4
Pralognan la Vanoise,152,Alpes du Nord,1410,2355,24,12
Praloup,220,Alpes du Sud,1500,2500,47,19
Praz de Lys Sommand,143,Alpes du Nord,1250,2000,53,22
Praz sur Arly,163,Alpes du Nord,1035,2069,25,11
Puy Saint Vincent,172,Alpes du Sud,1400,2700,34,12
Puyvalador,130,Pyrénées,1700,2400,17,8
Reallon,118,Alpes du Sud,1560,2115,14,6
Risoul,200,Alpes du Sud,1850,2750,43,15
Romme,60,Alpes du Nord,1200,1580,7,4
Roubion - Les Buisses,99,Alpes du Sud,1400,1920,20,7
Saint Colomban des Villards,151,Alpes du Nord,1100,2620,17,9
Saint Francois Longchamp,183,Alpes du Nord,1450,2550,42,16
Saint Gervais Mont-Blanc,235,Alpes du Nord,1150,2525,120,56
Saint Hilaire du Touvet,70,Alpes du Nord,1000,1400,10,5
Saint Jean dArves,182,Alpes du Nord,1100,2620,43,26
Saint Jean dAulps,148,Alpes du Nord,900,1800,30,16
Saint Jean de Sixt,40,Alpes du Nord,940,1000,1,1
Saint Jean Montclar,146,Alpes du Sud,1350,2505,33,12
Saint Lary Soulan,221,Pyrénées,1700,2500,56,28
Saint Leger les Melezes,106,Alpes du Sud,1260,2000,16,9
Saint Martin de Belleville,239,Alpes du Nord,1450,2850,86,33
Saint Pierre de Chartreuse / Le Planolet,108,Alpes du Nord,900,1800,26,16
Saint Sorlin dArves,186,Alpes du Nord,1500,2620,40,16
Saint Veran,150,Alpes du Sud,1740,2830,34,13
Sainte Anne la Condamine,124,Alpes du Sud,1830,2400,13,6
Sainte Foy Tarentaise,170,Alpes du Nord,1550,2620,24,6
Samoens,246,Alpes du Nord,700,2500,145,54
Sauze Super Sauze,152,Alpes du Sud,1400,2400,35,22
Savoie Grand Revard,102,Alpes du Nord,1350,1550,33,14
Serre Chevalier,255,Alpes du Sud,1200,2800,81,61
Serre Eyraud,75,Alpes du Sud,1480,2100,9,3
Sixt Fer a Cheval,95,Alpes du Nord,800,1600,12,6
Superdevoluy / La Joue du Loup,181,Alpes du Sud,1500,2500,55,24
Thollon les Memises,123,Alpes du Nord,1000,2000,16,14
Tignes,285,Alpes du Nord,1550,3450,74,39
Turini Camp dArgent,75,Alpes du Sud,1600,1920,4,3
Val Cenis,175,Alpes du Nord,1300,2800,57,28
Val dAllos - La Foux,196,Alpes du Sud,1800,2600,40,18
Val dAllos - Le Seignus,141,Alpes du Sud,1500,2425,24,10
Val dAzun,48,Pyrénées,1350,1600,10,2
Val dIsere,285,Alpes du Nord,1850,3456,76,42
Val Louron,145,Pyrénées,1465,2100,20,10
Val Pelens,75,Alpes du Sud,1600,1750,7,2
Val Thorens,250,Alpes du Nord,2300,3230,82,32
Valberg,172,Alpes du Sud,1430,2100,56,23
Valfrejus,155,Alpes du Nord,1550,2737,23,10
Valloire,200,Alpes du Nord,1430,2600,89,30
Valmeinier,200,Alpes du Nord,1500,2600,42,14
Valmorel,225,Alpes du Nord,1400,2550,61,34
Vars,200,Alpes du Sud,1650,2750,72,26
Vaujany,172,Alpes du Nord,1650,2800,30,20
Ventron,123,Vosges,870,1150,10,7
Villard de Lans,178,Alpes du Nord,1143,2050,52,20
Villard Reculas,103,Alpes du Nord,1480,3300,12,8
