"Title","Year","IMDb","Rotten.Tomatoes","Runtime"
"The Little Vampire 3D",2017,5.4,0.14,83
"XOXO",2016,5.3,0.71,92
"For Here or to Go?",2017,6.7,0.54,105
"Social Animals",2018,5.2,0.38,90
"Mercy Black",2019,4.9,0.4,88
"Fun Mom Dinner",2017,5.2,0.33,81
"Lavender",2016,5.4,0.36,92
"City of Tiny Lights",2016,5.5,0.59,110
"Hank: 5 Years from the Brink",2013,6.6,0.5,85
"Bulbul Can Sing",2019,6.8,1,95
"The Titan",2018,4.8,0.16,97
"Sliver",1993,5,0.11,107
"Half Girlfriend",2017,4.3,0.25,135
"God Bless the Broken Road",2018,5.5,0.17,111
"Summer Night",2019,4.6,0.52,98
"Bayonet",2018,5.8,0.8,101
"Cezanne and I",2016,6,0.53,117
"The Tenth Man",2016,5.7,0.71,100
"Screwed",2000,5.8,0.13,81
"Mara",2018,5.1,0.29,98
"Puerto Ricans in Paris",2015,5.3,0.36,82
"Skin Trade",2014,5.6,0.25,96
"Arctic Dogs",2019,4.5,0.13,92
"A Christmas Prince: The Royal Baby",2019,5.3,0.4,84
"Cats & Dogs: The Revenge of Kitty Galore",2010,4.3,0.13,82
"Jab Harry Met Sejal",2017,5.3,0.1,143
"The Roommate",2011,4.8,0.04,91
"Doom: Annihilation",2019,3.6,0.5,96
"The Vault",2017,4.8,0.25,91
"Theatre of Life",2016,6.5,1,138
"The Laws of Thermodynamics",2018,6,0.45,100
"The Watcher",2000,5.3,0.1,103
"Some Kind of Beautiful",2015,5.7,0.06,99
"I Am the Pretty Thing That Lives in the House",2016,4.5,0.6,89
"The Adderall Diaries",2016,5.2,0.21,87
"CRD",2016,6.3,1,108
"Ready",2011,4.7,0.3,145
"The Legacy of a Whitetail Deer Hunter",2018,5.5,0.32,83
"Shorts",2009,4.7,0.46,89
"Rim of the World",2019,5.1,0.3,98
"First Kill",2017,5,0.12,97
"Miss Julie",2014,5.4,0.51,129
"Theo Who Lived",2016,6.8,0.82,86
"Ready to Mingle",2019,5.9,0.44,95
"The Bye Bye Man",2017,4.2,0.18,96
"Spy Kids: All the Time in the World",2011,3.5,0.22,89
"The Little Mermaid",2018,4.2,0.2,83
"Invisible Essence: The Little Prince",2018,7.5,1,90
"Naam Shabana",2017,6.3,0.4,147
"There's Something in the Water",2019,6.7,0.82,73
"Birthmarked",2018,5.7,0.12,90
"Twin Murders: The Silence of the White City",2019,5.2,0.4,110
"Mr. Pig",2016,5.7,0.62,100
"A Dangerous Woman",1993,5.8,0.5,102
"The Black Prince",2017,6.6,0.07,118
"The Humanity Bureau",2017,4.8,0.25,95
"Big Kill",2018,5.3,0.22,126
"Girlfriend's Day",2017,5.2,0.43,65
"All I Wish",2018,5.1,0.18,94
"I Don't Know How She Does It",2011,4.9,0.17,89
"Bob Lazar: Area 51 and Flying Saucers",2018,5.5,0.2,97
"Noblemen",2019,5.8,1,108
"Highly Strung",2016,7.2,1,96
"Once Upon a Time in London",2019,6.1,0.2,111
"Visions",2015,5.3,0.19,82
"The Most Hated Woman in America",2017,6.1,0.43,91
"Good People",2014,5.5,0.09,90
"Hoodwinked Too! Hood VS. Evil",2011,4.7,0.11,86
"Swiped",2018,3.6,0.17,93
"Gori Tere Pyaar Mein",2013,5,0.44,150
"The Rehearsal",2016,5.7,0.82,102
"Belmonte",2019,6.1,0.92,74
"Don Verdean",2015,5.4,0.29,90
"Under the Eiffel Tower",2019,5.1,0.41,87
"The Love Guru",2008,3.8,0.14,87
"Elisa & Marcela",2019,6.5,0.33,118
"The Clapper",2018,5.1,0.23,89
"Perdida",2018,5.6,0.2,149
"Havenhurst",2016,4.8,0.27,85
"God's Not Dead: A Light in Darkness",2018,4.5,0.11,105
"Judwaa 2",2017,3.8,0.36,145
"River's Edge",2018,6.2,0.71,99
"The Last Resort",2018,7.3,0.9,75
"Azhar",2016,5.8,0.22,130
"Secret Obsession",2019,4.3,0.36,97
"Merata: How Mum Decolonised the Screen",2019,6.9,0.92,89
"The Apostate",1987,6,0.75,80
"Burning Cane",2019,5.5,0.88,77
"Blood Money",2017,4.4,0.5,100
"Zoom",2006,4.4,0.03,93
"Aiyaary",2018,5.3,0.29,157
"The Last Face",2016,4.9,0.08,130
"Chronically Metropolitan",2016,5.1,0.4,90
"Lucknow Central",2017,6.2,0.4,133
"The Drowning",2016,4.4,0.5,95
"Heroine",2012,5.1,0.5,43
"Rattlesnake",2019,4.6,0.29,85
"Judy Moody and the Not Bummer Summer",2011,4.2,0.2,91
"Fitoor",2016,5.4,0.15,131
"White Chamber",2018,4.4,0.43,89
"Curtiz",2018,6,0.5,98
"Woody Woodpecker",2017,4.1,0.13,91
"Heirs",2015,5.7,0.67,55
"Revenge of the Green Dragons",2014,5.3,0.15,94
"Mostly Sunny",2017,5.4,0.43,83
"Deep",2017,4.1,0.33,92
"Krystal",2018,5.4,0.1,90
"Animas",2018,4.8,0.67,83
"The Devil Inside",2012,4.2,0.06,83
"Paris Is Us",2019,4.6,0.43,83
"Happy Family",2017,4.8,0.1,93
"Reincarnated",2012,6.2,0.29,96
"Kath & Kimderella",2012,5.3,0.26,86
"14 Cameras",2018,4.5,0.22,90
"Shark Night 3D",2011,4,0.19,90
"The Runner",2015,4.7,0.24,90
"Spanish Affair 2",2015,5.3,0.4,99
"Kings",2017,5,0.13,86
"Brahman Naman",2016,5.6,0.75,95
"All the Devil's Men",2018,5.1,0.23,99
"Monsters: Dark Continent",2014,4.3,0.17,119
"The Devil and Father Amorth",2018,4.6,0.44,68
"Girls with Balls",2019,3.8,0.38,77
"Sadie's Last Days on Earth",2016,5.2,0.4,90
"A Glimpse Inside the Mind of Charles Swan III",2012,4.8,0.16,86
"The Last Thing He Wanted",2020,4.2,0.06,115
"Dance Flick",2009,3.5,0.18,83
"The (Silent) War",2019,5.6,0.56,121
"Jacob's Ladder",2019,3.4,0.05,113
"Berlin, I Love You",2019,4.6,0.11,120
"Dry Martina",2018,5.9,0.5,95
"I'm in Love with a Church Girl",2013,4.4,0.06,118
"Awake",2019,5,0.14,92
"Poster Boys",2017,5.5,0.33,128
"A Flying Jatt",2016,3.1,0.43,151
"Temple",2017,3.6,0.27,
"Sextuplets",2019,4.4,0.14,97
"The Open House",2018,3.2,0.23,94
"Change in the Air",2018,5.4,0.11,94
"Zubaan",2016,6.1,0.83,115
"The Fourth Direction",2015,6.4,0.63,115
"Monster Island",2017,4.8,0.18,89
"A Perfect Man",2013,5.2,0.2,95
"The Body",2019,5.4,0.17,89
"Day of the Dead: Bloodline",2017,3.4,0.13,90
"Planetarium",2016,4.6,0.16,105
"Dear Dad",2016,6.4,0.29,95
"I Am Vengeance",2018,4.3,0.38,92
"Deadcon",2019,2.8,0.5,78
"Five Nights in Maine",2016,4.6,0.28,82
"Stray Bullet",2018,6.1,0.75,75
"Beneath The Leaves",2019,4.5,0.2,90
"Back of the Net",2019,5,0.5,98
"New Money",2018,4.8,0.6,107
"Viking Destiny",2018,4.2,0.13,91
"Gour Hari Dastaan",2015,7.5,0.4,114
"Malaal",2019,5.9,0.29,153
"Black Rose",2014,2.5,0.22,83
"Tees Maar Khan",2010,2.5,0.11,135
"Garbage",2018,3.3,0.6,105
"Mantostaan",2017,6.2,0.4,92
"The Price of Success",2017,5.8,0.2,92
"Mantra",2017,5.2,0.4,90
"Coffee with D",2017,4.4,0.17,123
"The Dark Knight",2008,9,0.94,152
"GoodFellas",1990,8.7,0.96,146
"Parasite",2019,8.6,0.99,132
"Good Will Hunting",1997,8.3,0.97,126
"The Green Mile",1999,8.6,0.78,189
"Batman Begins",2005,8.2,0.84,140
"Grave of the Fireflies",1988,8.5,0.98,89
"Kill Bill: Vol. 1",2003,8.1,0.85,111
"Zombieland",2009,7.6,0.9,88
"A Quiet Place",2018,7.5,0.95,90
"Kill Bill: Vol. 2",2004,8,0.84,137
"Let the Right One In",2008,7.9,0.98,114
"True Grit",2010,7.6,0.96,110
"Akira",1988,8,0.9,124
"50/50",2011,7.6,0.93,100
"Hunt for the Wilderpeople",2016,7.9,0.96,101
"The Graduate",1967,8,0.86,106
"Portrait of a Lady on Fire",2019,8.2,0.98,122
"Misery",1990,7.8,0.9,107
"The Conjuring",2013,7.5,0.85,112
"Free Solo",2018,8.2,0.97,100
"Captain Fantastic",2016,7.9,0.82,118
"I, Tonya",2017,7.5,0.89,119
"Blazing Saddles",1974,7.7,0.89,93
"Shoplifters",2018,8,0.99,121
"Up in the Air",2009,7.4,0.91,109
"The Cabin in the Woods",2012,7,0.92,95
"How to Train Your Dragon: The Hidden World",2019,7.5,0.91,104
"Escape from Alcatraz",1979,7.6,0.96,112
"Star Trek II: The Wrath of Khan",1982,7.7,0.87,113
"Apollo 11",2019,8.2,0.99,93
"Booksmart",2019,7.2,0.97,102
"Super 8",2011,7,0.81,112
"Mission: Impossible - Fallout",2018,7.7,0.97,147
"Coherence",2013,7.2,0.88,89
"Annihilation",2018,6.9,0.88,115
"Heathers",1989,7.2,0.93,103
"The Descent",2005,7.2,0.85,99
"The Guilty",2018,7.5,0.97,85
"Fighting with My Family",2019,7.1,0.93,108
"Bumblebee",2018,6.8,0.91,114
"Rango",2011,7.2,0.88,107
"Instant Family",2018,7.3,0.81,118
"13 Assassins",2010,7.6,0.95,141
"The Host",2006,7.1,0.93,120
"Volver",2006,7.6,0.91,121
"We Need to Talk About Kevin",2011,7.5,0.75,112
"Let Me In",2010,7.1,0.88,116
"Three Identical Strangers",2018,7.7,0.97,96
"A Simple Favor",2018,6.8,0.85,117
"Creed II",2018,7.1,0.84,130
"Loving Vincent",2017,7.8,0.85,94
"Megamind",2010,7.2,0.72,95
"Honeyland",2019,8,1,89
"The Full Monty",1997,7.2,0.96,91
"Abominable",2019,7,0.81,97
"The Chaser",2008,7.9,0.82,125
"Hotel Mumbai",2018,7.6,0.76,123
"Nobody Knows",2004,8.1,0.93,141
"Ninja Scroll",1993,7.9,0.93,94
"Chicken Run",2000,7,0.97,84
"Swingers",1996,7.2,0.87,96
"Food, Inc.",2008,7.8,0.95,94
"Embrace of the Serpent",2015,7.9,0.96,125
"Melancholia",2011,7.2,0.8,135
"Minding the Gap",2019,8.1,1,93
"The Second Mother",2015,7.8,0.97,112
"Notes on a Scandal",2006,7.4,0.87,92
"Star Trek VI: The Undiscovered Country",1991,7.2,0.82,110
"Love & Mercy",2015,7.4,0.9,121
"A Taxi Driver",2017,7.8,0.96,137
"The Prince of Egypt",1998,7.1,0.8,99
"Tickled",2016,7.6,0.94,92
"Sorry to Bother You",2018,6.9,0.93,112
"The Way Back",2010,7.3,0.74,108
"Detroit",2017,7.3,0.83,143
"Risky Business",1983,6.8,0.92,99
"The Biggest Little Farm",2019,8.1,0.91,91
"Lucky",2017,7.3,0.97,88
"Border",2018,7,0.97,110
"Natural Born Killers",1994,7.3,0.47,118
"If Beale Street Could Talk",2018,7.1,0.95,119
"Horton Hears a Who!",2008,6.8,0.79,86
"Romancing the Stone",1984,6.9,0.84,106
"The Beatles: Eight Days a Week - The Touring Years",2016,7.8,0.96,106
"Phone Booth",2002,7,0.72,81
"Gods and Monsters",1998,7.4,0.95,105
"Force Majeure",2014,7.3,0.94,86
"Turtles Can Fly",2005,8.1,0.88,98
"Thelma",2017,7,0.93,116
"The Sisters Brothers",2018,7,0.87,122
"Tangerine",2015,7.1,0.96,88
"Monos",2019,7.1,0.92,102
"The Nightingale",2019,7.3,0.86,136
"BPM (Beats per Minute)",2017,7.4,0.98,143
"Bend It Like Beckham",2002,6.6,0.85,112
"Hud",1963,7.8,0.82,112
"Vice",2018,7.2,0.66,28
"The Book of Eli",2010,6.9,0.47,118
"The 12th Man",2017,7.4,0.86,135
"The Messenger",2009,7.1,0.89,113
"Cartel Land",2015,7.4,0.9,100
"Professor Marston and the Wonder Women",2017,7.1,0.86,108
"A Brilliant Young Mind",2014,7.1,0.87,111
"Antz",1998,6.5,0.93,83
"The Next Three Days",2010,7.4,0.51,133
"Megan Leavey",2017,7.1,0.87,116
"Jesus Camp",2006,7.4,0.87,84
"RBG",2018,7.5,0.94,98
"Wild Rose",2019,7.2,0.92,101
"Kinsey",2004,7,0.9,118
"Demolition Man",1993,6.7,0.59,115
"Spirit: Stallion of the Cimarron",2002,7.1,0.7,83
"The Good, The Bad, The Weird",2008,7.3,0.82,139
"Waiting for ""Superman""",2010,7.5,0.9,111
"The Skeleton Twins",2014,6.8,0.87,93
"I Can Only Imagine",2018,7.3,0.61,110
"Woman at War",2018,7.4,0.97,101
"Johnny Guitar",1954,7.7,0.93,110
"Jane",2017,7.8,0.98,120
"Monster House",2006,6.6,0.75,91
"Hail Satan?",2019,7.3,0.96,95
"Ingrid Goes West",2017,6.6,0.86,98
"Dogman",2018,7.2,0.83,103
"Anthropoid",2016,7.2,0.66,120
"Missing Link",2019,6.7,0.89,93
"Star Trek III: The Search for Spock",1984,6.7,0.8,105
"Cashback",2006,7.2,0.46,102
"Juliet, Naked",2018,6.6,0.83,97
"The Absent One",2014,7.1,0.92,119
"Big Time Adolescence",2020,7,0.84,91
"Get Smart",2008,6.5,0.5,110
"Life, Animated",2016,7.5,0.94,92
"Sands of Iwo Jima",1949,7.1,1,100
"Killer Joe",2011,6.7,0.79,102
"Sword Art Online: The Movie - Ordinal Scale",2017,7.4,1,119
"The Wave",2015,6.7,0.83,90
"Colossal",2016,6.2,0.81,109
"Luce",2019,6.7,0.91,109
"Oculus",2014,6.5,0.75,104
"Standing in the Shadows of Motown",2002,7.8,0.91,108
"Borg vs McEnroe",2017,6.9,0.84,107
"Denial",2016,6.7,0.82,109
"Best of Enemies",2015,7.6,0.93,87
"Prospect",2018,6.2,0.89,100
"Arbitrage",2012,6.6,0.88,107
"Plus One",2019,6.6,0.89,98
"Active Measures",2018,7.9,0.8,109
"Amazing Grace",2018,7.5,0.99,118
"The Art of Self-Defense",2019,6.7,0.84,104
"The Clovehitch Killer",2018,6.5,0.78,109
"Rare Exports: A Christmas Tale",2010,6.7,0.89,84
"Venus in Fur",2013,7.2,0.89,96
"Jackass 3D",2010,7,0.65,95
"I Kill Giants",2018,6.2,0.77,106
"The Queen of Versailles",2012,7.1,0.95,100
"2 Days in Paris",2007,6.8,0.87,96
"The Wrecking Crew",2008,7.6,0.94,105
"The Villainess",2017,6.7,0.84,124
"Europa Report",2013,6.4,0.81,90
"The Cooler",2003,6.9,0.77,101
"In the Fade",2017,7.1,0.77,106
"The Road to El Dorado",2000,6.9,0.48,89
"Christine",2016,6.9,0.88,110
"Hearts Beat Loud",2018,6.9,0.91,97
"Whitney",2018,7.3,0.88,30
"Angel of Mine",2019,6.5,0.71,98
"Hounds of Love",2016,6.5,0.88,108
"Pawn Sacrifice",2015,7,0.72,115
"Transformers: Dark of the Moon",2011,6.2,0.35,154
"Ben Is Back",2018,6.7,0.82,103
"Wayne's World 2",1993,6.2,0.61,95
"No Strings Attached",2011,6.2,0.49,108
"Along with the Gods: The Two Worlds",2017,7.3,0.63,139
"Young & Beautiful",2013,6.7,0.73,95
"The Pirates! In an Adventure with Scientists!",2012,6.7,0.86,88
"Lo and Behold: Reveries of the Connected World",2016,7,0.93,98
"Operation Finale",2018,6.6,0.6,122
"78/52",2017,7.3,0.89,91
"Gloria",2013,6.8,0.99,122
"Princess Cyd",2017,6.7,0.94,96
"The Domestics",2018,5.7,1,95
"Andy Irons: Kissed by God",2018,8.3,1,100
"Joe Strummer: The Future Is Unwritten",2007,7.6,0.89,124
"The Commuter",2018,6.3,0.56,105
"Dirty Wars",2013,7.5,0.85,87
"Soul Food",1997,7,0.81,115
"Sidewalls",2011,7.5,0.67,95
"Miss Stevens",2016,6.6,0.91,86
"Footloose",2011,5.9,0.69,113
"Charlotte's Web",1973,6.9,0.76,97
"Shirley Valentine",1989,7.2,0.73,108
"Drinking Buddies",2013,6.1,0.83,90
"The Keeper of Lost Causes",2013,7.2,0.7,96
"Sea of Shadows",2019,7.2,0.94,104
"Oh Lucy!",2017,6.8,0.98,95
"The Spy Who Dumped Me",2018,6,0.49,117
"Skate Kitchen",2018,6.8,0.89,106
"Experimenter",2015,6.6,0.85,98
"What They Had",2018,6.6,0.87,101
"Burn",2012,7.5,1,88
"Margarita with a Straw",2015,7.2,0.86,100
"Odd Thomas",2013,6.8,0.38,100
"Every Day",2018,6.4,0.63,97
"Nothing Like a Dame",2018,7.3,0.99,84
"Brian Banks",2019,7.1,0.61,99
"It's a Disaster",2013,6.4,0.79,88
"The Little Death",2014,7.1,0.61,96
"Becoming Bond",2017,7.5,0.81,95
"After the Screaming Stops",2018,7.1,1,98
"Slums of Beverly Hills",1998,6.6,0.8,91
"Lords of Chaos",2019,6.5,0.74,118
"The Frozen Ground",2013,6.4,0.61,105
"Paranoid Park",2007,6.7,0.76,85
"The Hunchback of Notre Dame",1923,7.3,0.91,91
"Support the Girls",2018,6.4,0.91,93
"The China Hustle",2018,7.2,0.77,82
"Paranormal Activity 3",2011,5.8,0.67,83
"Death Wish",2018,6.4,0.18,107
"Cold Case Hammarskjöld",2019,7.6,0.83,128
"Anna and the Apocalypse",2017,6,0.77,93
"Somm",2013,7,0.79,94
"Love, Gilda",2018,7.4,0.89,88
"Star Trek: Insurrection",1998,6.4,0.55,103
"Bad Company",1972,7,0.92,84
"Dior and I",2015,7.3,0.84,90
"Where'd You Go, Bernadette",2019,6.5,0.49,109
"Gorky Park",1983,6.8,0.75,128
"Beach Rats",2017,6.4,0.85,98
"Manderlay",2005,7.3,0.5,139
"High Strung",2016,6.4,0.75,96
"The Last Days",2013,6.1,0.89,100
"Free Willy",1993,6,0.58,112
"First Girl I Loved",2016,6.1,0.89,90
"Man on a Ledge",2012,6.6,0.32,102
"Barking Dogs Never Bite",2000,7,0.67,110
"Destroyer",2018,6.2,0.74,121
"Meek's Cutoff",2010,6.5,0.86,104
"No One Knows About Persian Cats",2009,7.1,0.95,106
"Villains",2019,6.2,0.84,90
"The Limehouse Golem",2016,6.3,0.74,109
"Walking Tall",1973,7,0.75,86
"Tragedy Girls",2017,6,0.82,98
"Pet Sematary",2019,5.7,0.58,101
"The Overnight",2015,6.1,0.83,79
"Star Trek: The Motion Picture",1979,6.4,0.42,132
"Crime + Punishment",2018,7.4,0.92,100
"Vincere",2009,6.9,0.92,128
"Southbound",2015,5.9,0.8,89
"The Quake",2018,6.2,0.84,106
"American Ultra",2015,6.1,0.43,96
"Hellbound: Hellraiser II",1988,6.5,0.52,97
"The Hero",2017,6.5,0.78,96
"Tom of Finland",2017,6.8,0.83,117
"Fyre Fraud",2019,6.8,0.76,96
"David Crosby: Remember My Name",2019,7.2,0.91,95
"Gilbert",2017,7.4,0.95,94
"Framing John DeLorean",2019,6.4,0.89,109
"Marrowbone",2017,6.6,0.47,110
"Kusama : Infinity",2018,7.2,0.93,76
"Please Stand By",2018,6.7,0.58,51
"Those People",2015,6.5,0.8,89
"The Time That Remains",2009,7.1,0.84,109
"The Mexican",2001,6.1,0.54,123
"Paranormal Activity 2",2010,5.6,0.59,91
"Red Dog: True Blue",2016,6.4,1,88
"Assassination Nation",2018,5.9,0.73,108
"Friends with Kids",2012,6.1,0.67,107
"Diana Vreeland: The Eye Has to Travel",2012,7.5,0.94,86
"I Remember You",2017,6.1,0.86,105
"Forever My Girl",2018,6.7,0.24,108
"The Furies",1950,7.3,0.83,82
"Meeting Gorbachev",2019,7.2,0.88,90
"Welcome to the Rileys",2010,7,0.54,110
"Hector and the Search for Happiness",2014,7,0.37,120
"Bad Reputation",2018,7.3,0.79,90
"Waiting to Exhale",1995,5.9,0.56,124
"Pyewacket",2017,5.8,0.82,90
"The Swan Princess",1994,6.4,0.5,93
"Grabbers",2012,6.3,0.72,94
"Aniara",2019,6.2,0.7,106
"The Housemaid",2010,6.4,0.7,107
"Little Woods",2018,6.1,0.96,105
"Elvira, Mistress of the Dark",1988,6.6,0.47,
"In Search of Greatness",2018,6.6,0.92,77
"Food Evolution",2017,7,1,92
"Sinbad: Legend of the Seven Seas",2003,6.7,0.45,86
"The Den",2013,6,0.76,81
"Wolf Warrior 2",2017,6,0.69,123
"Dumb: The Story of Big Brother Magazine",2017,7.2,1,79
"Goodbye First Love",2011,6.6,0.83,110
"The 33",2015,6.9,0.48,127
"Mike Wallace Is Here",2019,7.2,0.94,90
"March of the Penguins 2",2017,6.6,1,85
"Teen Spirit",2019,6.1,0.71,93
"Seymour: An Introduction",2015,7.4,1,84
"The Man Who Killed Hitler and Then the Bigfoot",2019,5.6,0.76,98
"The Childhood of a Leader",2016,6.1,0.89,115
"The Standoff at Sparrow Creek",2019,6.2,0.77,88
"A Very Sordid Wedding",2017,5.3,0.86,109
"Toni Morrison: The Pieces I Am",2019,7.1,0.97,120
"Dina",2017,6.8,0.98,265
"Dog Days",2018,6.2,0.63,113
"Monsters and Men",2018,5.7,0.86,96
"The Canal",2014,5.8,0.71,92
"Leap Year",2010,6.5,0.23,100
"Raise Hell: The Life & Times of Molly Ivins",2019,7.6,0.94,93
"Under the Tree",2017,6.8,0.85,89
"The League of Extraordinary Gentlemen",2003,5.8,0.17,110
"Hello I Must Be Going",2012,6.2,0.75,95
"Two Trains Runnin'",2016,7.4,1,80
"The Jewel of the Nile",1985,6.1,0.5,106
"Middle Men",2009,6.8,0.4,105
"Before I Go to Sleep",2014,6.3,0.37,92
"Eating Animals",2018,7.3,0.91,94
"Mom and Dad",2018,5.5,0.75,86
"Touched with Fire",2016,6.2,0.68,106
"Cunningham",2019,6.4,0.88,93
"Starfish",2018,5.3,0.9,99
"The Yellow Handkerchief",2009,6.7,0.66,102
"The First Monday in May",2016,7.2,0.78,90
"The Miracle Season",2018,6.5,0.51,101
"Burden",2016,6.9,0.97,117
"Downsizing",2017,5.7,0.47,135
"Lowlife",2017,6.2,0.91,120
"The Blue Room",2014,6.3,0.9,76
"The Chumscrubber",2005,6.9,0.37,108
"Pledge",2019,5.4,0.76,124
"Universal Soldier",1992,6,0.29,102
"Non-Fiction",2018,6.5,0.87,108
"Larger than Life: The Kevyn Aucoin Story",2017,8.3,0.9,102
"The Bookshop",2017,6.5,0.57,113
"Baskın",2015,5.8,0.79,101
"A Life Less Ordinary",1997,6.4,0.39,103
"Girls Just Want to Have Fun",1985,6,0.38,90
"The Ant Bully",2006,5.8,0.62,88
"Overboard",2018,6,0.24,112
"Henry Gamble's Birthday Party",2015,6.1,0.83,87
"Nico, 1988",2017,6.7,0.92,93
"Diane",2019,6.7,0.88,95
"Joshy",2016,5.9,0.81,93
"Leaving",2009,6.2,0.68,85
"Finding Your Feet",2017,6.7,0.7,111
"The Princess of Montpensier",2010,6.4,0.85,139
"Citizen Jane: Battle for the City",2017,6.9,0.95,92
"High-Rise",2015,5.6,0.6,119
"Unlocked",2017,6.2,0.26,98
"Far From The Tree",2017,7.5,0.9,93
"Freak Show",2018,6.7,0.54,86
"C.S.A.: The Confederate States of America",2005,6.4,0.8,89
"AWOL",2017,5.5,0.93,100
"Haze",2017,5.9,0.88,106
"Maze",2017,5.9,0.92,159
"Legion of Brothers",2017,5.7,1,79
"Mister America",2019,6.4,0.66,89
"The Archer",2017,5.1,0.8,86
"Tank Girl",1995,5.3,0.4,104
"Little Joe",2019,5.9,0.68,105
"Scotch: A Golden Dream",2019,7.5,0.75,89
"The Prodigy",2019,5.8,0.42,92
"Divide and Conquer: The Story of Roger Ailes",2018,7,0.9,107
"This Is Not Berlin",2019,6.6,0.82,115
"The Last Word",2017,6.6,0.4,92
"The Hustle",2019,5.4,0.14,93
"The Unicorn",2019,5.1,0.91,22
"Whose Streets?",2017,5,0.98,90
"Vox Lux",2018,5.9,0.61,114
"Take Every Wave: The Life of Laird Hamilton",2018,7.3,0.76,118
"Leaning Into the Wind: Andy Goldsworthy",2018,6.7,0.98,97
"The Amazing Johnathan Documentary",2019,6.6,0.8,91
"Unmade Beds",2009,6.6,0.76,97
"Case 39",2009,6.2,0.21,109
"The X Files: I Want to Believe",2008,5.9,0.31,104
"The Gospel According to André",2018,6.3,0.86,93
"A Good Old Fashioned Orgy",2011,6.1,0.35,95
"Children of the Corn",1984,5.7,0.35,92
"The Osiris Child",2016,5.6,0.65,99
"Friday the 13th: The Final Chapter",1984,6,0.2,91
"Ballet 422",2014,6.2,0.87,75
"Shelley",2016,5.2,0.92,92
"The Escape",2018,5.8,0.77,101
"Where Hands Touch",2018,6.2,0.4,122
"The Myth of the American Sleepover",2011,6.3,0.81,96
"Jawline",2019,5.9,0.96,99
"Anchor and Hope",2017,6.4,0.75,113
"Antiviral",2012,5.7,0.66,108
"Flower",2017,6,0.5,90
"All Square",2018,5.8,0.91,93
"The Day Shall Come",2019,5.8,0.65,87
"Depraved",2019,5.3,0.87,114
"Wonder Park",2019,5.8,0.34,85
"Go Tigers!",2001,7.2,0.85,103
"Already Tomorrow in Hong Kong",2016,6.5,0.74,78
"We Are What We Are",2010,5.7,0.72,105
"Hungry Hearts",2015,6.4,0.63,109
"The Tall Man",2012,5.9,0.41,106
"Scenic Route",2013,6.5,0.67,82
"Ms. Purple",2019,6,0.86,87
"What Men Want",2019,5.2,0.42,117
"A Crooked Somebody",2018,6.2,0.8,102
"The Kid",2019,5.9,0.45,100
"Do I Sound Gay?",2015,5.7,0.81,77
"The Beach Bum",2019,5.5,0.56,95
"The Whistle Blower",1986,6.2,0.88,100
"Road Games",2015,5.4,0.84,101
"Let the Sunshine In",2017,6,0.86,94
"Wild Card",2015,5.6,0.32,92
"Æon Flux",2005,5.4,0.09,93
"Brick Mansions",2014,5.7,0.25,90
"Planet 51",2009,6,0.22,91
"Padre nuestro",2007,6.9,0.79,94
"Run the Race",2019,5.9,0.4,101
"Ramen Heads",2017,7.1,0.63,93
"Beyond the Gates",2016,5.2,0.83,84
"House of D",2004,7,0.1,97
"The Devil's Doorway",2018,5.2,0.78,76
"Changeland",2019,5.7,0.63,86
"The Year of Spectacular Men",2018,5.6,0.67,102
"In Paris",2006,6.5,0.6,92
"Digging for Fire",2015,5.8,0.66,85
"Before We Vanish",2017,6,0.8,129
"Here to be Heard: The Story of the Slits",2018,7.1,0.67,86
"Stella's Last Weekend",2018,6.4,0.65,102
"Kiki",2017,6.5,0.81,102
"Midnighters",2018,5.4,0.81,94
"The Brink",2019,6.1,0.84,30
"Damsel",2018,5.5,0.67,113
"Killing Them Safely",2015,6.5,0.91,100
"Conan the Barbarian",2011,5.2,0.25,129
"Family Law",2006,6.9,0.73,60
"Cantinflas",2014,6.5,0.45,102
"Madea's Big Happy Family",2011,4.7,0.37,106
"What We Become",2015,5.6,0.78,85
"Free Birds",2013,5.9,0.19,91
"Righteous Kill",2008,6,0.18,101
"I Still See You",2018,5.8,0.08,98
"Men with Brooms",2002,5.7,0.55,102
"The Girl King",2015,5.9,0.42,106
"Foxfire",1996,6.2,0.27,102
"WolfCop",2014,5.5,0.65,79
"Star Trek V: The Final Frontier",1989,5.5,0.22,107
"Pilgrimage",2017,5.8,0.69,96
"UglyDolls",2019,4.9,0.27,87
"Vita & Virginia",2019,5.7,0.41,110
"Dementia",2015,5.1,0.77,75
"Acrimony",2018,5.8,0.17,120
"Friday the 13th Part III",1982,5.7,0.12,95
"Fun in Acapulco",1963,5.9,0.57,97
"Mad to Be Normal",2017,6,0.64,106
"The Last Race",2018,5.9,0.93,108
"Undrafted",2016,6.4,0.25,90
"2:22",2017,5.8,0.22,91
"The Cleanse",2018,5.3,0.83,81
"Take My Nose... Please!",2017,6.8,0.83,92
"10x10",2018,5,0.67,88
"Harry Benson: Shoot First",2016,7.3,0.85,87
"The Reagan Show",2017,6.4,0.79,74
"Proxy",2013,5.7,0.64,120
"Welcome to Mercy",2018,4.9,0.7,103
"Permanent",2017,5.5,0.44,93
"Terminal",2018,5.4,0.21,128
"Walking with the Enemy",2014,6.4,0.45,124
"Crash Pad",2017,5.7,0.54,91
