"Title","Year","IMDb","Rotten.Tomatoes","Runtime"
"Steve Jobs",2015,7.2,0.85,122
"Tremors",1990,7.1,0.88,96
"The Croods",2013,7.2,0.71,98
"Locke",2014,7.1,0.91,85
"Bill Burr: I'm Sorry You Feel That Way",2014,8.4,1,80
"Starred Up",2013,7.4,0.99,106
"Mudbound",2017,7.4,0.97,134
"Austin Powers: International Man of Mystery",1997,7,0.71,94
"Blue Ruin",2013,7.1,0.96,90
"The Patriot",2000,7.2,0.61,165
"Babel",2006,7.4,0.69,143
"The Square",2013,8.1,1,151
"Gerald's Game",2017,6.6,0.9,103
"Miracle",2004,7.5,0.81,135
"Swades",2004,8.2,0.83,210
"Tinker Tailor Soldier Spy",2011,7.1,0.83,122
"The Witch",2015,6.9,0.9,92
"Haider",2014,8.1,0.86,160
"Padman",2018,7.9,1,140
"Hush",2016,6.6,0.91,82
"Elizabeth",1998,7.4,0.82,124
"Miss Americana",2020,7.4,0.93,85
"Christopher Robin",2018,7.3,0.73,104
"I Lost My Body",2019,7.6,0.96,81
"I Am Mother",2019,6.7,0.9,113
"Lupin the Third: The Castle of Cagliostro",1979,7.7,0.94,100
"The Autopsy of Jane Doe",2016,6.8,0.86,86
"Virunga",2014,8.2,1,100
"Freedom Writers",2007,7.5,0.7,123
"The Master",2012,7.2,0.85,138
"A Serious Man",2009,7,0.9,106
"The King",2019,7.2,0.7,140
"The Breadwinner",2017,7.7,0.95,94
"The Boy Who Harnessed the Wind",2019,7.6,0.87,113
"Article 15",2019,8.3,0.89,130
"The Killing of a Sacred Deer",2017,7,0.79,121
"Lawless",2012,7.3,0.67,116
"Kabhi Khushi Kabhie Gham",2001,7.4,1,210
"Charlie and the Chocolate Factory",2005,6.6,0.82,115
"Freaks",2019,6.7,0.87,105
"Hannah Gadsby: Nanette",2018,8.2,1,69
"The Mask of Zorro",1998,6.7,0.82,136
"The Natural",1984,7.5,0.82,138
"Equilibrium",2002,7.4,0.4,107
"Arthur Christmas",2011,7.1,0.92,97
"The Rainmaker",1997,7.2,0.83,135
"Winter on Fire: Ukraine's Fight for Freedom",2015,8.4,0.88,102
"Always Be My Maybe",2019,6.8,0.89,101
"The Crying Game",1992,7.2,0.94,112
"War Horse",2011,7.2,0.74,146
"Shot Caller",2017,7.3,0.69,121
"The Invitation",2015,6.6,0.88,100
"A Most Violent Year",2014,7,0.89,125
"The Other Guys",2010,6.6,0.78,107
"Kapoor & Sons",2016,7.7,1,132
"On Body and Soul",2017,7.6,0.89,116
"The Fundamentals of Caring",2016,7.3,0.77,97
"Insidious",2010,6.8,0.66,103
"Bill Burr: Paper Tiger",2019,8.2,0.86,67
"Bad Boys",1995,6.9,0.43,119
"The Foreigner",2017,7,0.65,113
"The Danish Girl",2015,7.1,0.67,119
"The Girl with All the Gifts",2016,6.6,0.86,111
"Bird Box",2018,6.6,0.63,124
"The Ring",2002,7.1,0.71,115
"Hostiles",2017,7.2,0.72,134
"Sairat",2016,8.3,1,174
"Trumbo",2015,7.5,0.74,124
"LA 92",2017,8.2,0.92,114
"20th Century Women",2016,7.3,0.88,119
"Kal Ho Naa Ho",2003,8,0.7,186
"Swiss Army Man",2016,7,0.71,97
"In This Corner of the World",2016,7.8,0.97,129
"A Ghost Story",2017,6.9,0.91,92
"United 93",2006,7.5,0.9,111
"Patriot Games",1992,6.9,0.72,117
"The Secret Life of Pets 2",2019,6.5,0.6,86
"Hitch",2005,6.6,0.68,118
"The Young Offenders",2016,7.1,1,30
"Enemy",2013,6.9,0.71,91
"Mirage",2018,7.4,0.71,128
"Everybody's Everything",2019,7.4,1,116
"Indiana Jones and the Kingdom of the Crystal Skull",2008,6.1,0.78,122
"The Guernsey Literary & Potato Peel Pie Society",2018,7.4,0.81,124
"I Don't Feel at Home in This World Anymore",2017,6.9,0.88,93
"The Endless",2018,6.5,0.94,111
"Julie & Julia",2009,7,0.77,123
"The Game Changers",2019,7.9,0.7,108
"Under the Shadow",2016,6.9,0.99,84
"Angel Has Fallen",2019,6.4,0.39,121
"Kon-Tiki",2012,7.2,0.81,118
"Mary Poppins Returns",2018,6.7,0.79,130
"Kajaki",2014,7.1,1,108
"The Fear of 13",2015,7.7,0.94,96
"The Night Comes for Us",2018,7,0.92,121
"Blood Father",2016,6.4,0.89,88
"Stree",2018,7.6,0.77,128
"American Factory",2019,7.4,0.97,110
"Code 8",2019,6.1,0.79,98
"Salt",2010,6.4,0.62,100
"The Hundred-Foot Journey",2014,7.3,0.67,122
"The Distinguished Citizen",2016,7.5,1,118
"Scooby-Doo on Zombie Island",1998,7.8,0.86,77
"Chasing Coral",2017,8.1,1,93
"The End of the Tour",2015,7.3,0.92,106
"The One I Love",2014,7.1,0.82,91
"Underworld",2003,7,0.31,121
"The Death of Mr. Lazarescu",2005,7.9,0.93,153
"Madagascar: Escape 2 Africa",2008,6.6,0.64,89
"The Wolf's Call",2019,6.9,0.92,115
"What Happened to Monday",2017,6.9,0.59,123
"The Willoughbys",2020,6.4,0.9,90
"The White Helmets",2016,7.5,1,41
"Suburra",2015,7.4,0.91,50
"The Matrix Revolutions",2003,6.8,0.35,129
"Richard Pryor: Live in Concert",1979,8.2,0.92,78
"Austin Powers: The Spy Who Shagged Me",1999,6.6,0.52,95
